model,cand_id,status,sample_dir,b,subject,test_path,test_method_count_llm,test_method_count_human,test_method_name_overlap,test_method_name_jaccard,added_test_count_llm,added_test_count_human,added_test_overlap,added_test_name_jaccard,deleted_test_count_llm,deleted_test_count_human,deleted_test_overlap,deleted_test_name_jaccard,modified_test_count_llm,modified_test_count_human,modified_test_overlap,modified_test_name_jaccard,assert_count_llm,assert_count_human,assert_count_ratio,assert_type_distribution_llm,assert_type_distribution_human,assert_type_jaccard,exception_assert_count_llm,exception_assert_count_human,added_tests_llm,added_tests_human,deleted_tests_llm,deleted_tests_human,modified_tests_llm,modified_tests_human,error
deepseek-v4-pro,11,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand011_08aa21f9217d,08aa21f9217df0a28d48be5be5db03ddf4867140,"LANG-1408: add toDouble(BigDecimal), toDouble(BigDecimal, double)",src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,104,104,104,1.0000,2,2,2,1.0000,0,0,0,1.0000,1,1,1,1.0000,563,563,1.0000,"{""assertEquals"": 221, ""assertFalse"": 18, ""assertNotNull"": 2, ""assertTrue"": 312, ""fail"": 10}","{""assertEquals"": 221, ""assertFalse"": 18, ""assertNotNull"": 2, ""assertTrue"": 312, ""fail"": 10}",1.0000,32,32,"[""testBigIntegerToDoubleBigInteger"", ""testBigIntegerToDoubleBigIntegerD""]","[""testBigIntegerToDoubleBigInteger"", ""testBigIntegerToDoubleBigIntegerD""]",[],[],"[""testStringToDoubleString""]","[""testStringToDoubleString""]",
deepseek-v4-pro,12,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand012_0abcf0d32b22,0abcf0d32b22401e2c8e358317694d2ff044faed,Modify the error comment,src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,29,29,29,1.0000,0,0,0,1.0000,0,0,0,1.0000,0,0,0,1.0000,37,37,1.0000,"{""assertArrayEquals"": 1, ""assertEquals"": 6, ""assertFalse"": 1, ""assertNotNull"": 1, ""assertThrows"": 9, ""assertTrue"": 19}","{""assertArrayEquals"": 1, ""assertEquals"": 6, ""assertFalse"": 1, ""assertNotNull"": 1, ""assertThrows"": 9, ""assertTrue"": 19}",1.0000,9,9,[],[],[],[],[],[],
deepseek-v4-pro,13,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand013_0b4a9d95df61,0b4a9d95df610bfcc83c375110ac100d08662ba1,LocaleUtils.parseLocale(String) operator precedence bug allows invalid language with numeric country (#1658),src/test/java/org/apache/commons/lang3/LocaleUtilsTest.java,26,26,26,1.0000,2,2,2,1.0000,0,0,0,1.0000,0,0,0,1.0000,162,162,1.0000,"{""assertCountriesByLanguage"": 5, ""assertEquals"": 45, ""assertFalse"": 1, ""assertIllegalArgumentException"": 21, ""assertLanguageByCountry"": 5, ""assertLocaleLookupList"": 17, ""assertNotEquals"": 4, ""assertNotNull"": 9, ""assertNull"": 2, ""assertSame"": 4, ""assertThrows"": 1, ""assertTrue"": 11, ""assertUnmodifiableCollection"": 6, ""assertValidToLocale"": 31}","{""assertCountriesByLanguage"": 5, ""assertEquals"": 45, ""assertFalse"": 1, ""assertIllegalArgumentException"": 21, ""assertLanguageByCountry"": 5, ""assertLocaleLookupList"": 17, ""assertNotEquals"": 4, ""assertNotNull"": 9, ""assertNull"": 2, ""assertSame"": 4, ""assertThrows"": 1, ""assertTrue"": 11, ""assertUnmodifiableCollection"": 6, ""assertValidToLocale"": 31}",1.0000,1,1,"[""testIllegalLanguageWithNumericCountry"", ""testIllegalSingleCharLanguageWithNumericCountry""]","[""testIllegalLanguageWithNumericCountry"", ""testIllegalSingleCharLanguageWithNumericCountry""]",[],[],[],[],
deepseek-v4-pro,14,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand014_0b70b01a9f1d,0b70b01a9f1d9664bb5eac737175f58f06979b60,LANG-1352: EnumUtils.getEnumIgnoreCase and isValidEnumIgnoreCase methods added (closes #286),src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,32,40,32,0.8000,0,8,0,0.0000,2,2,2,1.0000,0,0,0,1.0000,149,166,0.8976,"{""assertArrayEquals"": 31, ""assertEquals"": 112, ""assertFalse"": 1, ""assertNull"": 2, ""assertTrue"": 3}","{""assertArrayEquals"": 31, ""assertEquals"": 115, ""assertFalse"": 5, ""assertNull"": 6, ""assertTrue"": 9}",1.0000,22,25,[],"[""test_getEnumIgnoreCase"", ""test_getEnumIgnoreCase_nonEnumClass"", ""test_getEnumIgnoreCase_nullClass"", ""test_getEnum_nonEnumClass"", ""test_isValidEnum"", ""test_isValidEnumIgnoreCase"", ""test_isValidEnumIgnoreCase_nullClass"", ""test_isValidEnum_nullClass""]","[""test_isEnum"", ""test_isEnum_nullClass""]","[""test_isEnum"", ""test_isEnum_nullClass""]",[],[],
deepseek-v4-pro,15,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand015_0de9354f505f,0de9354f505f415c7ad35fe735cebab4900a698a,"LANG-922 - Add isOneTrue(booleans...) to BooleanUtils to preserve old behavior of BooleanUtils.xor(booleans...). Added isOneTrue for primitives and wrappers, isOneFalse still missing.",src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,80,80,80,1.0000,9,9,9,1.0000,0,0,0,1.0000,0,0,0,1.0000,273,273,1.0000,"{""assertEquals"": 107, ""assertFalse"": 46, ""assertNotNull"": 1, ""assertSame"": 9, ""assertTrue"": 110}","{""assertEquals"": 107, ""assertFalse"": 46, ""assertNotNull"": 1, ""assertSame"": 9, ""assertTrue"": 110}",1.0000,30,30,"[""testIsOneTrue_object_emptyInput"", ""testIsOneTrue_object_nullElementInput"", ""testIsOneTrue_object_nullInput"", ""testIsOneTrue_object_validInput_2items"", ""testIsOneTrue_object_validInput_3items"", ""testIsOneTrue_primitive_emptyInput"", ""testIsOneTrue_primitive_nullInput"", ""testIsOneTrue_primitive_validInput_2items"", ""testIsOneTrue_primitive_validInput_3items""]","[""testIsOneTrue_object_emptyInput"", ""testIsOneTrue_object_nullElementInput"", ""testIsOneTrue_object_nullInput"", ""testIsOneTrue_object_validInput_2items"", ""testIsOneTrue_object_validInput_3items"", ""testIsOneTrue_primitive_emptyInput"", ""testIsOneTrue_primitive_nullInput"", ""testIsOneTrue_primitive_validInput_2items"", ""testIsOneTrue_primitive_validInput_3items""]",[],[],[],[],
deepseek-v4-pro,16,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand016_0fe9685c8a78,0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,LANG-1023 WordUtils.wrap: Customizable breakable characters (not just space/whitespace),src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java,14,14,14,1.0000,1,1,1,1.0000,0,0,0,1.0000,0,0,0,1.0000,212,212,1.0000,"{""assertEquals"": 194, ""assertFalse"": 14, ""assertNotNull"": 1, ""assertTrue"": 3}","{""assertEquals"": 194, ""assertFalse"": 14, ""assertNotNull"": 1, ""assertTrue"": 3}",1.0000,0,0,"[""testWrap_StringIntStringBooleanString""]","[""testWrap_StringIntStringBooleanString""]",[],[],[],[],
deepseek-v4-pro,17,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand017_10325422e5a4,10325422e5a4735aa87a4d47bdb377e09fe963d2,LANG-1276: StrBuilder#replaceAll ArrayIndexOutOfBoundsException (closes #200),src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java,91,91,91,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,665,665,1.0000,"{""assertEquals"": 512, ""assertFalse"": 27, ""assertNotNull"": 2, ""assertNotSame"": 2, ""assertSame"": 12, ""assertTrue"": 72, ""fail"": 38}","{""assertEquals"": 512, ""assertFalse"": 27, ""assertNotNull"": 2, ""assertNotSame"": 2, ""assertSame"": 12, ""assertTrue"": 72, ""fail"": 38}",1.0000,0,0,[],[],[],[],"[""testReplaceAll_StrMatcher_String""]","[""testReplaceAll_StrMatcher_String""]",
deepseek-v4-pro,18,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand018_10641f9ae7d1,10641f9ae7d1d2f30aec5bc146a8d5b49c22d0a0,Using Validate where possible in builder package.,src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java,44,44,44,1.0000,2,2,2,1.0000,1,1,1,1.0000,0,0,0,1.0000,108,108,1.0000,"{""assertEquals"": 106, ""assertNull"": 2}","{""assertEquals"": 106, ""assertNull"": 2}",1.0000,9,9,"[""testConstructorExEvenFirst"", ""testConstructorExEvenSecond""]","[""testConstructorExEvenFirst"", ""testConstructorExEvenSecond""]","[""testConstructorExEven""]","[""testConstructorExEven""]",[],[],
deepseek-v4-pro,19,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand019_10e18ae9b47d,10e18ae9b47dfe04573884739823d64825105694,LANG-1100: Avoid memory allocation when using date formating to StringBuffer,src/test/java/org/apache/commons/lang3/time/FastDatePrinterTest.java,17,17,17,1.0000,1,1,1,1.0000,0,0,0,1.0000,0,0,0,1.0000,53,53,1.0000,"{""assertEquals"": 51, ""assertFalse"": 1, ""assertTrue"": 1}","{""assertEquals"": 51, ""assertFalse"": 1, ""assertTrue"": 1}",1.0000,1,1,"[""testLang1103""]","[""testLang1103""]",[],[],[],[],
deepseek-v4-pro,20,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand020_110ab39cb236,110ab39cb236fd7e6f517c8dc3b389fa215c0020,Use final.,src/test/java/org/apache/commons/lang3/function/ObjectsTest.java,4,4,4,1.0000,0,0,0,1.0000,0,0,0,1.0000,4,4,4,1.0000,23,23,1.0000,"{""assertEquals"": 5, ""assertFalse"": 2, ""assertSame"": 6, ""assertTrue"": 4, ""fail"": 6}","{""assertEquals"": 5, ""assertFalse"": 2, ""assertSame"": 6, ""assertTrue"": 4, ""fail"": 6}",1.0000,0,0,[],[],[],[],"[""testRequireNonNullObject"", ""testRequireNonNullObjectFailableSupplierString"", ""testRequireNonNullObjectString"", ""testRequireNonNullObjectSupplierString""]","[""testRequireNonNullObject"", ""testRequireNonNullObjectFailableSupplierString"", ""testRequireNonNullObjectString"", ""testRequireNonNullObjectSupplierString""]",
deepseek-v4-pro,21,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand021_127050d2b54b,127050d2b54bd6224bc53573228e8774dc7be28b,"NumberUtils.isCreatable(String) should match NumberUtils.createNumber(String), exactly (#1626)",src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,125,125,125,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,735,735,1.0000,"{""assertCreateNumberZero"": 7, ""assertEquals"": 551, ""assertFalse"": 25, ""assertIllegalArgumentException"": 12, ""assertInstanceOf"": 41, ""assertNotNull"": 5, ""assertNull"": 7, ""assertNullPointerException"": 12, ""assertThrows"": 18, ""assertTrue"": 57}","{""assertCreateNumberZero"": 7, ""assertEquals"": 551, ""assertFalse"": 25, ""assertIllegalArgumentException"": 12, ""assertInstanceOf"": 41, ""assertNotNull"": 5, ""assertNull"": 7, ""assertNullPointerException"": 12, ""assertThrows"": 18, ""assertTrue"": 57}",1.0000,18,18,[],[],[],[],"[""testIsCreatable""]","[""testIsCreatable""]",
deepseek-v4-pro,22,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand022_1418a770ba43,1418a770ba436d15693c3bb29a67e501c2008274,[LANG-1452] RecursiveToStringStyle and MultilineRecursiveToStringStyle shouldn't recurse into a java.math.BigDecimal (#1584),src/test/java/org/apache/commons/lang3/builder/RecursiveToStringStyleTest.java,13,13,13,1.0000,4,4,4,1.0000,0,0,0,1.0000,0,0,0,1.0000,55,55,1.0000,"{""assertEquals"": 55}","{""assertEquals"": 55}",1.0000,0,0,"[""testAtomicsArray"", ""testBigDecimal"", ""testBigInteger"", ""testMutableWrapperArray""]","[""testAtomicsArray"", ""testBigDecimal"", ""testBigInteger"", ""testMutableWrapperArray""]",[],[],[],[],
deepseek-v4-pro,23,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand023_1521bf3e9f3e,1521bf3e9f3e2f944fc2331b0ac19c9f5f0fde6d,"Instead of throwing a NullPointerException, ArrayUtils.toStringArray(Object[]) should return ""null"" for null elements like ArrayUtils.toStringArray(Object[], String) returns its valueForNullElements.",src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,344,344,344,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,3327,3327,1.0000,"{""assertArrayEquals"": 114, ""assertEquals"": 1199, ""assertFalse"": 1020, ""assertInstanceOf"": 1, ""assertIsEquals"": 9, ""assertNotEquals"": 1, ""assertNotNull"": 2, ""assertNotSame"": 30, ""assertNull"": 98, ""assertSame"": 71, ""assertThrows"": 23, ""assertTrue"": 759}","{""assertArrayEquals"": 114, ""assertEquals"": 1199, ""assertFalse"": 1020, ""assertInstanceOf"": 1, ""assertIsEquals"": 9, ""assertNotEquals"": 1, ""assertNotNull"": 2, ""assertNotSame"": 30, ""assertNull"": 98, ""assertSame"": 71, ""assertThrows"": 23, ""assertTrue"": 759}",1.0000,23,23,[],[],[],[],"[""testToStringArray_array""]","[""testToStringArray_array""]",
deepseek-v4-pro,24,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand024_152b1777fddc,152b1777fddc5127e77f9b14637d6abae18eaf05,Rename new method,src/test/java/org/apache/commons/lang3/stream/StreamsTest.java,16,16,16,1.0000,2,2,2,1.0000,2,2,2,1.0000,0,0,0,1.0000,53,53,1.0000,"{""assertAll"": 2, ""assertEquals"": 30, ""assertEvenNumbers"": 3, ""assertNotNull"": 1, ""assertThat"": 8, ""assertThrows"": 7, ""assertTrue"": 2}","{""assertAll"": 2, ""assertEquals"": 30, ""assertEvenNumbers"": 3, ""assertNotNull"": 1, ""assertThat"": 8, ""assertThrows"": 7, ""assertTrue"": 2}",1.0000,7,7,"[""testOfCollectionNotNull"", ""testOfCollectionNull""]","[""testOfCollectionNotNull"", ""testOfCollectionNull""]","[""testToStreamNotNull"", ""testToStreamNull""]","[""testToStreamNotNull"", ""testToStreamNull""]",[],[],
deepseek-v4-pro,25,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand025_155abe805b80,155abe805b80bbb8276b75a8c4faffd2578bb68a,Use Java 8 API to manage thread local,src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java,46,46,46,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,124,124,1.0000,"{""assertEquals"": 111, ""assertNotEquals"": 2, ""assertThrows"": 9, ""assertTrue"": 2}","{""assertEquals"": 111, ""assertNotEquals"": 2, ""assertThrows"": 9, ""assertTrue"": 2}",1.0000,9,9,[],[],[],[],"[""testReflectionObjectCycle""]","[""testReflectionObjectCycle""]",
deepseek-v4-pro,26,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand026_155cec1085f9,155cec1085f9bd5383241e4c93fb40117081aaba,LANG-701 - Added new joinWith method to support varargs,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,128,128,128,1.0000,2,2,2,1.0000,0,0,0,1.0000,0,0,0,1.0000,1178,1178,1.0000,"{""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 5, ""assertEquals"": 929, ""assertFalse"": 46, ""assertNotNull"": 2, ""assertNull"": 117, ""assertSame"": 2, ""assertTrue"": 50, ""fail"": 6}","{""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 5, ""assertEquals"": 929, ""assertFalse"": 46, ""assertNotNull"": 2, ""assertNull"": 117, ""assertSame"": 2, ""assertTrue"": 50, ""fail"": 6}",1.0000,13,13,"[""testJoinWith"", ""testJoinWithThrowsException""]","[""testJoinWith"", ""testJoinWithThrowsException""]",[],[],[],[],
