model,cand_id,sample_dir,b,subject,selector,generated,update_exit_code,run_exit_code,maven_returncode,status,failure_category,failure_detail
deepseek-v4-pro,14,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand014_0b70b01a9f1d,0b70b01a9f1d9664bb5eac737175f58f06979b60,LANG-1352: EnumUtils.getEnumIgnoreCase and isValidEnumIgnoreCase methods added (closes #286),EnumUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,15,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand015_0de9354f505f,0de9354f505f415c7ad35fe735cebab4900a698a,"LANG-922 - Add isOneTrue(booleans...) to BooleanUtils to preserve old behavior of BooleanUtils.xor(booleans...). Added isOneTrue for primitives and wrappers, isOneFalse still missing.",BooleanUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,16,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand016_0fe9685c8a78,0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,LANG-1023 WordUtils.wrap: Customizable breakable characters (not just space/whitespace),WordUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,17,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand017_10325422e5a4,10325422e5a4735aa87a4d47bdb377e09fe963d2,LANG-1276: StrBuilder#replaceAll ArrayIndexOutOfBoundsException (closes #200),StrBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,18,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand018_10641f9ae7d1,10641f9ae7d1d2f30aec5bc146a8d5b49c22d0a0,Using Validate where possible in builder package.,HashCodeBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,19,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand019_10e18ae9b47d,10e18ae9b47dfe04573884739823d64825105694,LANG-1100: Avoid memory allocation when using date formating to StringBuffer,FastDatePrinterTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,20,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand020_110ab39cb236,110ab39cb236fd7e6f517c8dc3b389fa215c0020,Use final.,ObjectsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,21,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand021_127050d2b54b,127050d2b54bd6224bc53573228e8774dc7be28b,"NumberUtils.isCreatable(String) should match NumberUtils.createNumber(String), exactly (#1626)",NumberUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,22,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand022_1418a770ba43,1418a770ba436d15693c3bb29a67e501c2008274,[LANG-1452] RecursiveToStringStyle and MultilineRecursiveToStringStyle shouldn't recurse into a java.math.BigDecimal (#1584),RecursiveToStringStyleTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,23,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand023_1521bf3e9f3e,1521bf3e9f3e2f944fc2331b0ac19c9f5f0fde6d,"Instead of throwing a NullPointerException, ArrayUtils.toStringArray(Object[]) should return ""null"" for null elements like ArrayUtils.toStringArray(Object[], String) returns its valueForNullElements.",ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,24,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand024_152b1777fddc,152b1777fddc5127e77f9b14637d6abae18eaf05,Rename new method,StreamsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,25,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand025_155abe805b80,155abe805b80bbb8276b75a8c4faffd2578bb68a,Use Java 8 API to manage thread local,HashCodeBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,26,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand026_155cec1085f9,155cec1085f9bd5383241e4c93fb40117081aaba,LANG-701 - Added new joinWith method to support varargs,StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,27,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand027_17a6d163c62d,17a6d163c62d7bbfc9e19c11e0d52ae06b5160b1,Adding a createStarted() method per request in LANG-1138,StopWatchTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,28,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand028_184c9e83211a,184c9e83211a0552698a934d45d3ebca2c789881,WordUtils.wrap() zero-width wrapOn regex match causes infinite loop. (#1649),WordUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,29,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand029_1974c83561d0,1974c83561d09cf73a575f992fbd8416e3354d20,incorporated feedback from Peter,ThreadUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,30,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand030_1a002c67f2d3,1a002c67f2d3c198411a62165e53b31d6b414aa3,LANG-1225: Add RandomStringUtils#randomGraph and #randomPrint which match corresponding regular expression class,RandomStringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,31,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand031_1a20867d01ef,1a20867d01ef8ee5b32b0620125b7c38a10b80c5,LANG-1310: MethodUtils.invokeMethod throws ArrayStoreException if using varargs arguments and smaller types than the method defines (closes #256),MethodUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,32,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand032_1a3a12dc7388,1a3a12dc7388a177c4ae64f5e3c96a7d462c003d,[LANG-1784] Add Functions methods for null-safe mapping and chaining #1435,FunctionsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,33,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand033_1a60c21395fe,1a60c21395fe7648188d1c91f62ac7baefa12742,Applying the copy of the HashCodeBuilder code to stop cyclic references over to EqualsBuilder per LANG-606 and Oliver Sauder's patch,EqualsBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,34,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand034_1a77a547dd72,1a77a547dd72e82a8967e462406436a1c2e341a2,"Add allNull() and anyNull() methods to ObjectUtils, as well as their associated tests. (#522)",ObjectUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,35,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand035_1b9d938d66a1,1b9d938d66a172b200fd90d4a61707852bdb4b8f,"LANG-1118 Fix StringUtils.repeat(char, int) dealing with negative repeat value",StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,36,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand036_1e455838963a,1e455838963a99f7e76e334850c00293262f9573,LANG-1778 fix by reversing order (#1414),MethodUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,37,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand037_1f35e7c99b66,1f35e7c99b66b8d46c4ad96558e694a10aa38062,[LANG-586] Clear ThreadLocal for HashCodeBuilder as well,HashCodeBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,38,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand038_1f56bd103d53,1f56bd103d53c8c6ba7502c6586c26be01bfdb80,LANG-1261: ArrayUtils#contains and ArrayUtils#indexOf should compare objects with different types,ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,39,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand039_217da1e6aa2b,217da1e6aa2b2c9f626ed2efa42e3e3996175571,implement lastIndexOf,CharSequenceUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,40,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand040_23f18044d1cc,23f18044d1cc750ce07a59662f636468e616d4d5,Update documentation related to the issue LANG-696 (#449),ClassUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,41,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand041_23f508095004,23f508095004cc7215cdd6fc4b15e8d6192f8d1d,Adding Vincent Ricard's patch to CharRange.java providing an iterator that lets you walk the chars in the range. LANG-454,CharRangeTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,42,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand042_240b7a92f63b,240b7a92f63bec0a81ec8707e6b08115da368590,default autoboxing for Class[] depending on RT Java version + more tests,ClassUtilsTest,True,0,1,1,maven_fail,compile_error,"est.java:[834,16] error: method test_isAssignable_ClassArray_ClassArray() is already defined in class ClassUtilsTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
deepseek-v4-pro,43,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand043_242b815437b9,242b815437b9a988c2ce9e980295ca8a9e302e7a,LANG-1185 Add some tests for StringUtils replaceAll and replaceFirst methods,StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,44,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand044_24957f9934ce,24957f9934cee310debd2005bdbd78e21e857e7e,Use final.,NumberUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,45,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand045_2521d9619fe1,2521d9619fe1f052ced8ea1107851ac98a1b7488,refactored to Generics and added isArrayIndexValid,ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,46,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand046_2550d4cfa283,2550d4cfa283603a23283c5495bfab75deff02dc,"Rewriting OctalUnescaper as a hand rolled parser (all of 4 characters), instead of trying to handle the conversion via repeated attempts to convert the numbers. This fixes bugs, see LANG-929, and also changes the behaviour for 'illegal' octals such as \999. Instead of throwing NumberFormatException, it will now ignore them. This seems the better behaviour.",OctalUnescaperTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,47,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand047_26bc45fdeeed,26bc45fdeeeda2bee38cc2a08ce99e41fd48e0d6,"Fix checkstyle violations (tabs, missing spaces after commas, missing javadocs)",FunctionsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,48,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand048_26ead6134ad5,26ead6134ad55bf1350e41f05f4d0cbe6d0be4be,[LANG-1814] ArrayUtils.subarray(..) may overflow index arithmetic and violate contract for extreme index values #1585,ArrayUtilsTest,False,,,,merge_incomplete,merge_incomplete,
deepseek-v4-pro,49,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand049_28f46460d63b,28f46460d63b4c7806a2b9cce382b2b79ba6fd50,ClassUtils.toCleanName(String) resolves malformed array suffixes instead (#1670),ClassUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,50,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand050_2a11642511a3,2a11642511a3c69bac5aa1abd83d3219871395e3,LANG-1411: Add empty checks to ObjectUtils,ObjectUtilsTest,True,0,1,1,maven_fail,compile_cannot_find_symbol,"ind symbol [ERROR] symbol: variable NON_EMPTY_ARRAY [ERROR] location: class org.apache.commons.lang3.ObjectUtilsTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
deepseek-v4-pro,51,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand051_2cad60b6c25c,2cad60b6c25c87a6a59d3d315ec7d72c552fbc58,removed ArrayUtils.get,ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,52,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand052_2ebc17ba3f24,2ebc17ba3f244ae44aae46273aeef7e321f9542a,Added Functions.tryWithResources.,FunctionsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,53,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand053_2f153733c7df,2f153733c7dfe33f38438be3fd3269e0c3ab7005,Rename method and fix typo. (#940),DurationUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,54,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand054_313d877d57ab,313d877d57abefdbb1ad0c42781bf719b83d5a35,"Two fixes in RandomStringUtils.random(int, int, int, boolean, boolean, (#1638)",RandomStringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,55,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand055_31466db6ecd1,31466db6ecd115aa74616e14a75721b45c0f59f9,Add sugar to RandomIUtils,RandomUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,56,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand056_31d7eea1c620,31d7eea1c6205066b91c79f19219a436b26e9060,[LANG-1570] JavaVersion enum constants for Java 14 and 15. (#553),JavaVersionTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,57,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand057_35fb9fca83af,35fb9fca83af4ffbaf6f1163a927d8751938fda3,LANG-1172: Support dash as a delimiter in locales (#766),LocaleUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,58,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand058_36111ba5829b,36111ba5829bdd4249c7418c1aec17c149ef86a3,[LANG-1568] More failable functional interfaces to match JRE functional interfaces.,FunctionsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,59,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand059_3a35c53c6c9a,3a35c53c6c9a3b9a1feedaf39b72e405ecaf9df8,Add DurationUtils.zeroIfNull(Duration).,DurationUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,60,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand060_3acffccf1502,3acffccf15027bcf87e25a432f085c45e103b0ec,"LANG-1139: Add null safe methods in StringUtils to replace by regular expression :   - StringUtils.replaceAll(String, String, String)   - StringUtils.replaceFirst(String, String, String)",StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,61,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand061_3ce3b27dbd57,3ce3b27dbd579a918e97e1fb09e9b0153cc71a60,Fixing Checkstyle problems.,StreamsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,62,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand062_3d4ed4a8ac63,3d4ed4a8ac63db1e51601ffc31fed44dccbb276c,Fixing Checkstyle warnings. Closes #532.,LocksTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,63,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand063_3df7f4440e74,3df7f4440e7447bc55e95400ec511323e708c652,[LANG-1823] LocaleUtils.toLocale cannot parse valid JDK Locale string containing '#'  (#1630),LocaleUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,64,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand064_3fa5334ac08f,3fa5334ac08fc7ce1a86d5b34fbcd8cfea85ed23,"LANG-1027 don't fail if java version is unknown, lang is too much used to make apps and libs failling cause of an unknown java version.",JavaVersionTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,65,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand065_408b66081333,408b6608133359f03fc8d5b2c7cf4abd3813ebdd,More precise internal type,DurationFormatUtilsTest,True,0,1,1,maven_fail,compile_incompatible_types,"matUtilsTest.java:[85,79] incompatible types: java.lang.Object cannot be converted to java.lang.CharSequence [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
deepseek-v4-pro,66,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand066_421db380d060,421db380d060e9f037a8ecbc446c414efaa6923f,Switched capitalize back to using toTitleCase. Added a test for this using the 'Lj' letter. LANG-1142,StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,67,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand067_4240de53b325,4240de53b3252e4cf0d45fe55feae4e009565d6b,"Applying Srihari Reddy's patch from LANG-405, based on Dave Meikle's original patch. This adds a truncateMiddle method to StringUtils.",StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,68,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand068_434575ed0a71,434575ed0a71439b8abe8ef59948bf15847fd9c0,Adding toCalendar method per LANG-632,DateUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,69,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand069_45acc1c97094,45acc1c97094cd68928f634ce4896e4b05ee92ac,LANG-1691: ClassUtils.getShortCanonicalName - using canonicalName rather than class name (#949),ClassUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,70,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand070_46b15a2ecb05,46b15a2ecb05bdc281bc6109bb2db99b566d4a10,Rename method for next release.,StreamsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,71,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand071_49ef6b530c89,49ef6b530c89c5f7181aa3fbdb957155a6802b05,PMD: Implement equals(),HashCodeBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,72,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand072_4a934610e7d9,4a934610e7d911df707a23ad338ab2e4aa14daa4,LANG-1495 Update EnumUtils.java (#475),EnumUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,73,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand073_4c3f1dd00ee7,4c3f1dd00ee7b8800478edb2b50dd687103b5f2a,"StringUtils.repeat(String, [String,] int) now throws IllegalArgumentException (#1644)",StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,74,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand074_4f31ae757ce3,4f31ae757ce3e2ebee99af485050e4aa3a23f4f4,"Applying Valentin Rocher's patch from LANG-559, adding isInstanceOf and isAssignableFrom methods.",ValidateTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,75,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand075_4ff5e2b9f98e,4ff5e2b9f98e5ca9dd105a2d08477e0371ae8832,Extract a map method.,UncheckedFutureTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,76,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand076_526a03a8701f,526a03a8701f85e422786f0a4d1fadd3f0c249c1,"DateUtils.parseDateWithLeniency(String, Locale, String[], boolean) doesn't reset its time zone (#1660)",DateUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,77,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand077_52c06bea2f2b,52c06bea2f2b6c277c517dc9f5bb0d62d17e073c,fix LANG-1816 (#1589),ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,78,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand078_54e63005446a,54e63005446a2b0a4255ba16838122c5808ef886,[LANG-1141] StrLookup for system properties now sees updated values.,StrLookupTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,79,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand079_54ff33b2ad26,54ff33b2ad26e3969cc59d7f2723563dee3e37dc,LANG-1151: Performance improvements for NumberUtils.isParsable (closes #99),NumberUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,80,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand080_55a2a03aa308,55a2a03aa30836c814b9c2d50d5081a52f01d83c,[LANG-1177] Added indexesOf methods and simplified removeAllOccurences (#471),ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,81,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand081_5689c91cf2a3,5689c91cf2a3a27f0a3a8a362857f2cf0919d4f6,"Add DurationUtils.isPositive(Duration) and toDuration(long,TimeUnit).",DurationUtilsTest,True,0,0,0,maven_pass,,
